Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,ocean_proximity_Encoded,longitude_scal,latitude_scal,housing_median_age_scal,total_rooms_scal,total_bedrooms_scal,population_scal,households_scal,median_income_scal,median_house_value_scal
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,3,-1.3273137503741947,1.051717263449903,0.9821633124298519,-0.803812602122019,-0.97032521343305,-0.9733195161260458,-0.976833272273857,2.345162910425067,2.128818643716743
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,3,-1.3223225569909238,1.0423552622470411,-0.606210165496261,2.0421301959027685,1.3482759370790036,0.861339237553228,1.6703726236687726,2.332631613594577,1.3136260338638794
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,3,-1.3323049437574588,1.0376742616456118,1.8557687252892139,-0.5351892828680311,-0.8255609655505165,-0.8197694328455294,-0.8434266510356415,1.7829394332991606,1.258182540738924
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,3,-1.3372961371407297,1.0376742616456118,1.8557687252892139,-0.6235100675631242,-0.718767667932254,-0.765056184780058,-0.733562374721817,0.9329700016412189,1.1646216460905612
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,3,-1.3372961371407297,1.0376742616456118,1.8557687252892139,-0.4619699794938607,-0.6119743703139916,-0.7588788825791177,-0.6289297306134126,-0.013142909060729326,1.1724183873112581
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,3,-1.3372961371407297,1.0376742616456118,1.8557687252892139,-0.7859653969245649,-0.7709777245456267,-0.8930145875138218,-0.8015735933922797,0.08721277059856818,0.5443475667551202
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,3,-1.3372961371407297,1.0329932610441823,1.8557687252892139,-0.04645043284544337,-0.11597883248695046,-0.29205133053662813,0.03810337557766504,-0.11165575095083706,0.7999074178779625
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,3,-1.3372961371407297,1.0329932610441823,1.8557687252892139,0.21393571477895032,0.3539116770334043,-0.23645561072816526,0.3860069172381094,-0.3955054199137289,0.299183370593207
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,3,-1.3422873305240006,1.0329932610441823,1.0615819863261575,-0.03729801992367206,0.30170162042003157,-0.19321449532158305,0.2499844798971838,-0.9428808898707358,0.1718365973218245
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,3,-1.3372961371407297,1.0329932610441823,1.8557687252892139,0.41757690228836186,0.40137536486374314,0.11123825601047539,0.5612665961196868,-0.09475429598198384,0.469845372868461
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,3,-1.3422873305240006,1.0376742616456118,1.8557687252892139,-0.19883810799293564,-0.24650397402038232,-0.4544261312470593,-0.2548680279258671,-0.35175118602239835,0.646571507204257
